radius,texture,area,diagnosis
6.23,13.3,272.77,0
12.09,20.71,197.82,0
15.41,21.87,1118.79,1
11.05,18.59,535.73,0
17.87,31.79,2156.97,1
12.83,11.92,382.44,0
17.02,39.14,1305.87,1
9.42,14.31,339.18,0
25.49,34.59,1665.21,1
16.02,25.86,1831.55,1
22.51,34.09,782.48,1
12.96,21.82,620.42,0
9.42,15.44,608.76,0
9.33,12.51,296.84,0
11.48,12.05,551.02,0
10.16,13.24,658.97,0
12.16,20.11,576.8,0
13.4,19.66,370.64,0
7.9,21.31,632.0,0
17.76,29.98,2292.43,1
16.86,22.79,2040.98,1
24.71,28.57,1750.36,1
17.85,39.95,1617.15,1
12.8,20.33,234.06,0
13.13,15.07,184.94,0
22.75,29.36,1152.55,1
12.12,11.37,636.63,0
24.99,26.8,1228.3,1
10.08,21.45,631.72,0
27.63,35.24,1613.83,1
13.83,13.58,501.42,0
7.38,19.15,446.66,0
11.39,15.86,211.53,0
26.42,36.63,1253.53,1
8.17,16.81,193.32,0
25.61,39.56,1658.87,1
7.16,15.7,452.39,0
21.86,32.13,2435.85,1
12.42,14.79,519.43,0
20.7,30.35,917.81,1
6.58,10.25,454.66,0
6.06,18.49,182.38,0
14.15,20.32,188.97,0
8.51,15.82,446.58,0
18.16,29.46,1432.71,1
6.87,15.17,382.97,0
26.23,21.08,1876.22,1
6.55,18.74,590.33,0
8.24,12.28,396.74,0
17.39,29.25,2274.07,1
9.99,20.34,452.68,0
11.87,16.49,158.12,0
14.34,20.18,241.47,0
21.26,37.29,2324.4,1
9.41,21.82,295.86,0
18.71,33.93,2014.91,1
17.01,25.93,2443.68,1
12.73,10.69,471.3,0
6.51,16.09,618.24,0
11.36,18.1,279.36,0
14.47,16.84,468.41,0
11.57,15.03,471.02,0
27.15,24.09,1989.15,1
8.39,11.57,505.03,0
19.11,35.04,830.58,1
23.08,31.26,879.97,1
10.55,11.59,341.95,0
13.91,14.43,236.76,0
22.95,39.74,1877.16,1
12.01,16.66,662.47,0
14.45,11.61,213.49,0
12.68,11.87,304.97,0
12.46,12.44,498.83,0
21.57,25.02,2334.69,1
6.83,15.08,302.17,0
9.0,11.57,688.89,0
12.67,16.62,385.23,0
7.01,21.34,530.06,0
10.91,20.02,470.38,0
9.87,10.5,350.56,0
14.09,12.52,287.24,0
9.18,16.72,631.09,0
14.33,12.84,239.38,0
13.93,10.3,555.11,0
25.17,28.23,1905.83,1
8.4,19.45,209.45,0
13.73,12.67,599.12,0
19.55,36.41,2268.38,1
6.21,12.32,330.54,0
14.7,13.35,502.81,0
23.83,36.87,1296.07,1
7.04,21.64,248.21,0
15.5,31.93,1322.24,1
20.67,39.68,908.16,1
8.29,18.51,150.93,0
9.28,10.84,515.33,0
23.1,33.27,924.33,1
21.59,33.34,1287.13,1
22.21,23.84,1896.87,1
23.81,38.06,1807.93,1
20.28,36.67,1246.97,1
9.87,16.96,510.09,0
20.74,33.51,1620.11,1
11.93,13.41,515.12,0
16.21,39.04,1122.76,1
17.92,23.98,743.97,1
14.86,17.34,572.67,0
20.39,32.6,1049.98,1
21.43,24.88,1880.9,1
14.03,20.33,637.01,0
17.84,36.08,1952.64,1
15.65,24.98,2227.01,1
16.73,29.29,1656.04,1
27.35,37.83,1802.77,1
25.8,30.96,2314.97,1
20.85,35.04,2211.75,1
24.96,30.43,1828.15,1
20.72,34.27,1122.09,1
19.16,30.8,949.07,1
9.45,11.83,267.67,0
20.3,30.85,1448.39,1
13.5,14.67,573.39,0
13.71,19.19,359.21,0
14.48,13.58,364.49,0
22.0,34.69,2139.76,1
10.39,13.28,417.1,0
19.37,33.58,1427.77,1
13.56,21.03,689.4,0
14.16,17.1,514.65,0
11.78,11.63,403.93,0
8.34,13.93,400.08,0
24.9,27.58,2053.62,1
18.28,21.64,734.89,1
15.0,14.2,507.58,0
12.79,21.4,259.65,0
11.59,12.86,410.46,0
11.08,12.62,534.71,0
17.18,32.14,2046.27,1
13.0,11.97,321.07,0
14.36,16.91,649.41,0
20.16,34.3,836.79,1
6.92,19.27,617.66,0
13.17,16.79,172.59,0
23.6,21.38,1865.58,1
13.65,19.87,208.05,0
23.26,36.57,1973.16,1
17.29,30.43,1870.82,1
21.04,36.51,1766.45,1
26.07,36.61,855.99,1
18.17,29.29,1798.6,1
19.37,29.89,1285.03,1
17.76,35.96,1312.61,1
22.23,30.33,1043.9,1
